Organization Name,Project Overview  ,Proposed Project/ Project Progress,Action,Grant Award,Category,Grant Type,BIPOC Led Project
MercerMe,"MercerMe is an independent, community-supported digital newsroom dedicated to keeping Hopewell Valley informed, engaged, and connected. Founded in 2013, it covers Hopewell Township, Hopewell Borough, and Pennington Borough and is the region’s only consistent daily source of local news, free to all readers to ensure access to vital information.
Led by a full-time publisher who has guided the newsroom in an uncompensated capacity for more than a decade, MercerMe is supported by a full-time editor and a small team of freelance reporters. Its revenue comes from advertising, reader support, and occasional grants.
Since hiring its first full-time editor in March 2025, MercerMe has seen strong year-to-date growth: page views +36%, active users +18%, time on site +58%, and reader revenue +123%, reaching more than 22,000 monthly readers.
"," To accelerate MercerMe’s progress toward long-term sustainability in 2026 by funding a full-time publisher position, hiring an advertising sales representative, and strengthening operational infrastructure. This investment is projected to generate a 25% return in the first year through expanded advertising, increased reader support, and new earned-revenue initiatives, ensuring that Hopewell Valley residents continue to have access to timely and trustworthy local news.",Approve,$75000.00,Civic news and information reporting,New Grant,No 
New Jersey Monitor ,"The New Jersey Monitor is an independent, nonprofit and nonpartisan news site that strives to be a watchdog
for all residents of the Garden State.When policy makers are making decisions, our reporters will do more
than tell you what they’re doing. We’ll tell you why and how their actions matter to you. When a public official
behaves badly, we’ll expose it. When there’s a story that hasn’t been told, we’ll find it.We strive to hold
powerful people accountable and explain how their actions affect New Jerseyans from Montague to Cape May.
","Prior to the September board meeting, we received an emergency request to support the New Jersey Monitor in its effort to hire healthcare reporter Lilo Stainton, who was laid off from NJ Spotlight following federal funding losses. We requested your support, which the Grants Committee approved for presentation to the full board.
After further discussion with New Jersey Monitor editor Terrence McDonald, it was determined that funds for the planned hire would not be needed until January 2026. To allow time to finalize details with the Robert Wood Johnson Foundation (RWJF) contribution of $150K, we agreed to wait until the December grantmaking cycle to award this project - provided all conditions are met.
Since then, RWJF has awarded the Consortium $150,000 over two years to support this position. The Consortium will grant these funds to the New Jersey Monitor over a three-year period. We are now requesting the board’s consideration to supplement this support with an additional $60,000 over three years.
",Approve,$210000.00,Civic news and information reporting,New Grant,No 
Village Green NJ,"The Village Green provides daily, in-depth coverage of the issues that matter most to residents of Maplewood, South Orange, and surrounding communities, including education, redevelopment, taxes, public safety, governance, local business, arts and culture, and lifestyle. Its reporting is guided by the principles of fairness, thoroughness, and humanity.
The publication’s revenue model is supported by approximately one-third advertising and two-thirds paywall subscriptions. The Village Green operates with a small, dedicated team consisting of one owner/operator/editor/reporter, one editor/reporter, one advertising sales representative, and several freelancers, supported by an IT specialist and a bookkeeper on retainer.
",The goal of this initiative is to add an education and training component to Village Green’s coverage by hiring and mentoring high school and college students. The program will intentionally recruit and support a diverse group of aspiring journalists while expanding both the topics and geographic scope of Village Green’s reporting.,Approve,$40000.00,Civic news and information reporting,New Grant,No 
Black in Jersey,"Black In Jersey is a digital storytelling and media production company based in Trenton, New Jersey. The organization coaches citizen journalists to amplify the voices that shape New Jersey, building connections and fostering conversation through news coverage and documentary-style storytelling.

 This renewal focuses on implementing a succession plan that allows Black in Jersey’s founder and editor, Tennyson Donyea, to train his newsroom staff for leadership roles while stepping back from day-to-day operations. Black in Jersey demonstrated significant progress in audience engagement, newsroom growth, and consistency in reporting between June 2024 and June 2025. Tennyson took on a new position this year as an editor of The Baltimore Banner and relocated to the D.C. area to be closer to his new role. As a result, production at Black in Jersey temporarily paused during his transition.

","Black In Jersey’s most notable improvements came through staffing additions. Frank Santos stepped into the leadership role of Head of Creative Marketing. Adrienne Bauldock was brought on to refine the organization’s social media presence and community engagement strategy while taking on a larger role in event coordination.
The publication’s most engaging story focused on Camden and was co-produced by SJIEP fellow Jewel Justice and team member Frank Santos. It covered the environmental hazard caused by the European Metal Recycling Company (EMR), which caught fire and forced thousands of residents to evacuate. Black In Jersey’s team was among the first publications to break the story and was one of the few, if not the only, outlets present at the subsequent hearings and community organizing events around the city’s incinerator. The piece went viral, drawing over 15,000 page views and sparking local action through the Fight Fire with Fire advocacy group formed by local Camden residents. 
",Approve,$60000.00,Journalism pipline,Renewal ,Yes 
CCM (Research): Montclair State University,This project supports a full-time role at the Center for Cooperative Media at Montclair State University that is focused partly on research of New Jersey’s media landscape and partly on learning and impact evaluation for the Consortium.,"Conducted in-depth impact tracking for the Consortium’s grantees, holding monthly meetings with 35+ organizations to provide guidance on tracking outcomes and identifying meaningful impact metrics for their work.

Led the production and publication of the second impact report for the Consortium, a critical deliverable completed after it became clear that the Consortium’s state funding might not be renewed. Hanna contributed preliminary insights through an impact-at-a-glance one-pager, developed in collaboration with Madi McCool, allowing key findings to be presented ahead of state budget decisions. Ultimately, these efforts supported the partial renewal of the Consortium’s funding at $2.5 million.",Approve,$94045.88,Civic news and information reporting,Renewal ,No 
CCM (Spanish Translation): Montclair State University,"The New Jersey News Commons Spanish Translation News Service (STNS) is a collaborative project launched in July 2022 by the Center for Cooperative Media at Montclair State University. Currently in its third year, STNS aims to bridge the growing information gap for the Spanish-speaking communities in New Jersey by providing translated versions of significant statewide news stories that Spanish-language media might otherwise be unable to publish.  This initiative is designed to assist both Spanish-language news media and major news outlets in New Jersey by fostering partnerships among STNS member organizations. There are nine Spanish-language publications in New Jersey; six of those are part of the STNS project. ","The translated stories now span a broad range of topics, including immigration, education, healthcare, housing, transportation, the economy, and the environment. Since January 2025, heightened federal enforcement actions under the Trump administration have driven an increase in immigration-related arrests at workplaces and other locations, and a significant portion of recent translations has focused on immigration as a result. Over the past three years, interest in republishing STNS translated stories has grown steadily, supported by project leadership’s efforts to standardize translation practices while preserving cultural nuance and linguistic accuracy. This growth in republication across both English- and Spanish-language outlets reflects a wider recognition among English-focused news partners of the importance of Spanish translation in reaching and informing diverse audiences. As of October 2025, approximately 190 stories have been translated into Spanish, and the number of STNS partners has expanded to 19, including seven Spanish-language and 12 English-language organizations.",Approve,$50000.00,Civic news and information reporting,Renewal ,Yes 
Clinton Hill Community Action,"The CHCA Journalism and Advocacy Department empowers Clinton Hill residents through storytelling, media production, and civic engagement through programs that build local media capacity, strengthen communications, and amplify community voices.

The Media Fellows Program trains residents in media production.. The Citizen Journalist Program equips residents to report and share stories that matter to their community. The Summer Youth Program provides high school students hands-on journalism and media training, building skills, confidence, and leadership. 

Under Sheryl Hilliard Tucker, the CHCA Newsroom produces regular, community-centered news with trained residents, sharing local perspectives and strengthening civic awareness across Clinton Hill.","The newsroom is developing a regular publishing schedule and employs trained community members to report on local issues, share resident perspectives, and strengthen civic awareness across the neighborhood. To advance this effort, CHCA engaged Sheryl Hilliard Tucker as a planning consultant to shape the newsroom’s vision and guide content development, and hired Jordann Peters, a recent journalism graduate, to assist with news production. ",Approve,$75000.00,Journalism pipline,Renewal ,Yes 
NJ Spotlight LLC / WNET,"This project supports a full-time Washington, D.C.-based reporter who covers the New Jersey congressional delegation, federal agencies and issues relating to the state within the federal government. ","This calendar year, Ben Hulac has produced 135 stories and made numerous appearances on NJ Spotlight News with Briana Vannozzi. On social media, he is a frequent and engaging presence on the NJ Spotlight News branded account, regularly breaking down his stories and the issues behind them while maintaining steady audience interaction. He also contributes to the monthly NJSN Coffee Chat virtual events for members and the weekly Statehouse podcast Hey NJ. ",Approve,$100000.00,Civic news and information reporting,Renewal ,No 
Public Square Amplified,"PSA’s newsroom is grounded in the mission to use journalism as a civic tool and to build a pipeline for the next generation of community journalists. The organization is developing an emancipatory journalism program rooted in civics, media literacy, and an understanding of systems of power to produce community-centered reporting that amplifies voices from the periphery, centers community experience, and situates stories within their historical context.","PSA earned the National Headliner Award and an SPJ-NJ Award for its photo essay on Black childbirth. The 2025 Citizen as Journalist program was held for the third consecutive summer and received more than 50 inquiries and applications for its three-month curriculum. The newsroom has maintained a consistent publication schedule, and the addition of a freelance reporter has strengthened its capacity to cover breaking news within its editorial framework.
Since the launch of the Citizen Journalism class, 50 community reporters have been trained, contributing 195 stories that reflect the voices and experiences of their communities.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",Approve,$100000.00,Journalism pipline,Renewal ,Yes 
Ridgeview Echo ,"Ridge View Echo is a nonprofit online news organization serving Blairstown, Frelinghuysen, Hardwick, and Knowlton in Warren County, NJ, along with nearby towns including Hope, Stillwater, and Belvidere. Launched in February 2022, it delivers trustworthy, community-centered journalism focused on local government, schools, the environment, and civic life.","A major leadership transition was completed with the appointment of a new Executive Director and Managing Editor. Coverage of municipal, school board, and community issues expanded and reader engagement grew through a weekly newsletter, community submissions, and new partnerships with Sussex County Community College. RVE participated in the Blue Engine Collaborative Accelerator, which contributed to a 67% increase in newsletter growth and supported development of a donation-based revenue model.",Approve,$100000.00,Civic news and information reporting,Renewal ,No 
South Jersey Emerging Journalism Project ,"Formerly known as the South Jersey Information Equity Project, the South Jersey Emerging Journalism program provides newsroom fellowships for Black media makers in Burlington, Camden, Gloucester, Salem, Cumberland, and Atlantic counties, including both those who identify as journalists and those who do not.","Significant changes have taken place since the last grant period, most notably the end of Montclair State University’s formal relationship with the program following statewide rollbacks of DEI initiatives. As a result, Montclair no longer provides direction, staffing, or financial support. In response to this shift, Velvet McNeil has assumed the role of Executive Director, taking on expanded leadership responsibilities to guide the program forward. During this period, the organization also hosted a full-day professional development session led by award-winning investigative journalist Nicole Carr, formerly of ProPublica, focused on the legacy of the Black press and approaches to long-form investigative reporting.",Approve,$50000.00,Journalism pipline,Renewal ,Yes 
The Jersey Vindicator," The Jersey Vindicator is a statewide, nonprofit, nonpartisan newsroom dedicated to strengthening civic life through investigative, explanatory, and solutions journalism. It is the only newsroom solely focused on investigative reporting in New Jersey, aiming to serve as the state’s ProPublica.
","The Jersey Vindicator onboarded journalists Steve Janoski and Jeff Pillets as staff reporter and contributing editor, achieving a more consistent publishing schedule and expanded accountability coverage. In addition, the newsroom contracted award-winning visual journalist and Spanish speaker Andres Kudacki as multimedia and engagement director. Kudacki is broadening statewide reach by expanding Spanish-language coverage and enhancing visual storytelling and social media presence. The Vindicator also established a physical office in Trenton, creating a visible and accessible hub for reporting.",Approve,$100000.00,Civic news and information reporting,Renewal ,No 
Unidad Latina en Acción NJ,"Radio Jornalera NJ is an independent media outlet serving the working class, where community issues are brought to light and collective solutions are explored through dialogue with experts and professionals.  Its mission  is to amplify the stories and needs of immigrant workers while providing a safe, alternative media space grounded in community, solidarity, and respect. The project also trains and features street reporters from the community, further amplifying local voices and fostering empowerment through storytelling.","Radio Jornalera NJ has expanded its reach and capacity this year, now streaming 12 regular shows on Facebook and Spotify. The team of street reporters has completed two rounds of training and is actively producing original content. The newsroom has trained a rapid response team in Mercer County, with audience engagement ranging from 42,000 to 97,000 views on social media platforms. Radio Jornalera NJ is also participating in the GNI State News Sustainability Accelerator program hosted by Blue Engine, gaining tools and strategies to strengthen long-term sustainability. In addition, a Substack channel has been launched to provide written news in both English and Spanish. The studio’s technology and design have been upgraded with new cameras and an improved layout to create a more comfortable environment for live, in-person recordings.
",Approve,$100000.00,Civic news and information reporting,Renewal ,Yes 
Central Desi ,"This fellowship opportunity will cultivate college students as future journalists in New Jersey and train them to report, write and engage with local communities by covering the South Asian American community. It will also result in coverage of this underreported community and drive engagement through community events and social media.",,Approve,$20000.00,Journalism pipline,Bump Up ,Yes 
Chalkbeat Newark ," Chalkbeat’s newsroom in Essex County focused exclusively on schools, provides information to families, educators, and community leaders with a focus on those in historically underserved communities, so they can advocate effectively for better educational outcomes. 
The newsroom covers urgent issues in Newark’s schools by examining policy changes, legislative developments, and school operations, while also providing essential data and context. Through its in-depth reporting, Chalkbeat Newark helps expand public understanding of the complex challenges and innovations shaping education, ultimately supporting more informed and engaged communities. 
",,Approve,$20000.00,Civic news and information reporting,Bump Up ,No 
Front Runner New Jersey,"Front Runner New Jersey.com is a news and information website dedicated to covering Black, Latino, and other marginalized communities across South Jersey. The platform serves two primary purposes: to amplify the voices of Black and Brown communities in the region and to educate the broader public about the people, events, and issues that matter to them. It accomplishes this by publishing original stories and actively engaging with communities to highlight what is most important to them.",,Approve,$20000.00,Civic news and information reporting,Bump Up ,Yes 
Slice of Culture  ,"Slice of Culture (SOC) is an online media platform dedicated to local news, civic engagement, and community empowerment. Led by a team of young BIPOC storytellers, many of whom were raised in and currently reside in Hudson County. SOC produces accessible, engaging content that covers community events, civic issues, and public resource guides. ",,Approve,$20000.00,Civic news and information reporting,Bump Up ,Yes 
The Jersey Bee,"The Jersey Bee is a public service news and information provider that collaborates with the communities it serves to produce content that reflects local needs, encourages civic participation, and enhances the quality of life for BIPOC and working-class residents. The organization focuses on delivering accessible, relevant reporting that informs and empowers through newsletters, a community website, a local events calendar, social media, and SMS updates ",,Approve,$20000.00,Civic news and information reporting,Bump Up ,No 
Trenton Journal ,"Trenton Journal is a multimedia news outlet committed to filling information gaps and amplifying positive voices within the community through original, fact-based reporting. Over the past five years, the publication has served as a trusted source of local news, highlighting stories often overlooked by larger media and fostering civic engagement among Trenton residents. 
",,Approve,$20000.00,Civic news and information reporting,Bump Up ,Yes 
